Id,Account_status,Salary,Internal_PD,External_PD,Loan_amount,Profit,Banking_with_bank,Months_on_book,External_utilisation,Internal_utilisation,Spend_percentage,Probability,Profit_score
17899,In_order,132768.0,0.0,0.1022727272727272,10000.0,170.04,0,82.0,0.0953210806023029,0.560742,0.772071,0.587003658157783,6.0
17907,In_order,63672.0,0.2752992383025027,0.5340909090909091,5500.0,-95.58,1,28.0,0.5315143603133159,0.847394,0.437211,0.8054156234766163,9.0
17917,In_order,343344.0,0.0038084874863982,0.4488636363636363,30000.0,146.8,1,99.0,0.7233216374269006,0.46121,0.230749,0.3207495699963117,4.0
17930,In_order,124020.0,0.0990206746463547,0.2159090909090909,15000.0,124.89,0,118.0,1.09490234375,0.549081,0.1378,0.5325558029246932,6.0
17932,In_order,324924.0,0.4347116430903155,0.5909090909090909,2000.0,28.29,0,15.0,0.0128690958164642,0.82115,0.261447,0.6399900672379533,7.0
17944,In_order,237348.0,0.162132752992383,0.6306818181818182,17700.0,371.47,1,25.0,0.3096326690113326,0.919529,0.220534,0.4546339858087556,5.0
17945,In_order,204000.0,0.2752992383025027,0.6931818181818182,16000.0,815.6,0,23.0,0.2289903357070193,0.805132,0.228375,0.4503706406333712,5.0
17946,In_order,600000.0,0.0195865070729053,0.125,95000.0,998.0,1,41.0,0.5499679534953048,0.895382,0.054354,0.4417355868115189,5.0
17947,In_order,1473840.0,0.162132752992383,0.3920454545454545,50000.0,649.26,1,73.0,0.4929608750525873,0.959065,0.00639,0.4577002284483337,5.0
17951,In_order,1000008.0,0.0038084874863982,0.1818181818181818,74865.0,90.14,1,302.0,0.1413803989094561,0.20065,0.014413,0.3885053353113612,4.0
17952,In_order,288000.0,0.0081610446137105,0.2329545454545454,92500.0,403.39,1,126.0,1.1523271276595746,0.63759,0.266658,0.4657664410056488,5.0
17962,In_order,156732.0,0.1430903155603917,0.3181818181818182,10000.0,64.54,0,18.0,0.3663574660633484,0.604106,0.309709,0.4837579499360617,5.0
17965,In_order,318852.0,0.0625680087051142,0.2840909090909091,55000.0,-56.39,1,21.0,0.7157719298245614,0.133461,0.006464,0.5022318110206171,6.0
17976,In_order,144000.0,0.2132752992383024,0.6022727272727273,26000.0,-544.62,1,56.0,0.4902218114602588,0.427811,0.123208,0.1136143885295662,2.0
18000,In_order,264000.0,0.0723612622415669,0.4318181818181818,11700.0,198.55,0,19.0,0.4952860411899313,0.94793,0.238405,0.4908310852374031,5.0
18004,In_order,66000.0,0.5467899891186072,0.4545454545454545,12600.0,146.77,0,207.0,0.2426921387790953,0.784135,0.51037,0.5085462352620619,6.0
18017,In_order,180000.0,0.2752992383025027,0.7727272727272727,11700.0,478.75,0,16.0,0.3979135338345864,0.875087,0.224636,0.9559329385181708,10.0
18018,In_order,126000.0,0.0092491838955386,0.3011363636363636,8800.0,115.63,1,48.0,0.317140921409214,0.698942,0.184364,0.6386915033446025,7.0
18020,In_order,102000.0,0.2752992383025027,0.4659090909090909,6000.0,544.9,1,22.0,0.3280051813471502,0.762105,0.090236,0.7912222503420527,8.0
18021,In_order,194844.0,0.162132752992383,0.5511363636363636,15000.0,-203.36,1,14.0,0.4233736559139785,0.266298,0.079557,0.523472936061463,6.0
18048,In_order,193308.0,0.1131664853101196,0.6534090909090909,35000.0,988.66,1,100.0,0.3889001122334455,0.939958,0.036011,0.5219884254912207,6.0
18056,In_excess,336000.0,0.7138193688792164,0.7727272727272727,25000.0,-7612.47,1,31.0,0.8036864633493846,0.935953,0.042101,0.0371074506560129,1.0
18060,In_order,1020000.0,0.0489662676822633,0.0852272727272727,73200.0,-412.53,0,343.0,0.1741736694677871,0.089342,0.050259,0.4735110789895822,5.0
18061,In_order,300000.0,0.0489662676822633,0.1477272727272727,40000.0,105.81,1,145.0,0.2907177389364075,0.493324,0.091209,0.4274253815247258,5.0
